Importers,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
Central African Republic,1517,1677,3471,2732,2998,953,2585,1311,964,1586
Equatorial Guinea,3410,4727,6373,1892,3080,2396,1083,328,2385,1408
"Korea, Democratic People's Republic of",19327,11980,57009,26370,7924,4988,6289,1409,1600,1370
Timor-Leste,0,0,0,0,0,0,0,0,0,1279
Gibraltar,1554,1769,3442,4210,4028,1833,1074,1527,1586,1242
Yemen,3041,4303,5104,11499,7103,1466,1802,1536,574,1138
Cabo Verde,476,2513,3890,9758,5942,10421,1626,5927,1399,1043
Grenada,114,278,477,108,826,969,803,533,222,1043
Kiribati,500,356,440,367,288,469,805,696,846,999
Guinea-Bissau,378,1448,380,555,1003,2051,1282,2038,2315,887
Syrian Arab Republic,19374,13334,6213,1137,1755,3428,1379,1766,1688,867
Eswatini,9377,16716,6397,6482,8190,6064,7939,6694,2568,855
Comoros,2239,1231,1011,534,105,356,1068,363,2732,823
Africa not elsewhere specified,869,2042,252,1042,630,779,1226,1173,448,740
Belize,568,1712,1451,2405,2978,1673,10427,1000,1074,707
Andorra,924,846,504,430,670,788,2302,712,861,670
Sao Tome and Principe,83,361,35,2664,2147,1938,1244,794,819,541
Tajikistan,1830,9192,8000,6148,6311,3874,940,1700,1254,406
Tonga,250,259,494,5414,3122,946,1109,425,782,388
Marshall Islands,344,281,431,679,838,291,761,191,520,332
Nauru,24,204,173,344,341,375,396,145,410,175
Tuvalu,9,29,47,51,47,75,196,154,117,143
Europe Othr. Nes,109,189,619,346,117,577,655,272,392,83
Greenland,30,30,5,11,59,28,46,2076,3,17
Tokelau,102,100,95,805,52,13,31,2,18,1
Pitcairn,2,0,0,3,0,0,1,0,0,0
America not elsewhere specified,3,8,3,4,19,127,29,36,2,0
South Sudan,0,0,1580,3226,2071,9271,2419,1265,1536,0
Sudan,0,0,13873,11902,14628,11414,7318,4739,5605,0
